CellLine,Gene,Sample,FC,n,stderr,pvalue,order,order2,Color
U251,LV-pCDH,si-SCR,0.989387078,6,0.049985848,,1,1,#F8766D
U251,LV-pCDH,si-uc.110-1,0.510407429,6,0.04011999,*,2,1,#0CB702
U251,LV-pCDH,si-uc.110-2,0.510489387,6,0.038628577,*,3,1,#00A9FF
U251,LV-uc.110,si-SCR,1.793696104,6,0.22918346,*,4,2,#E68613
U251,LV-uc.110,si-uc.110-1,2.091565887,6,0.026428427,*,5,2,#7CAE00
U251,LV-uc.110,si-uc.110-2,2.145497724,6,0.104787934,*,6,2,#00BFC4
A172,LV-pCDH,si-SCR,0.954917863,3,0.129884727,,1,1,#F8766D
A172,LV-pCDH,si-uc.110-1,0.600695062,3,0.289260716,*,2,1,#0CB702
A172,LV-pCDH,si-uc.110-2,0.32980226,3,0.187832704,*,3,1,#00A9FF
A172,LV-uc.110,si-SCR,5.423642628,3,0.042936294,*,4,2,#E68613
A172,LV-uc.110,si-uc.110-1,2.956514011,3,0.229005227,*,5,2,#7CAE00
A172,LV-uc.110,si-uc.110-2,2.030406447,3,0.141500943,*,6,2,#00BFC4
