Target,Line,Fraction,meanCq,dct,FoldChange
GAPDH,A172,CF,16.153959983333333,0,1
GAPDH,A172,NF,18.956969561666668,2.8030095783333344,0.14328807189547524
GAPDH,U1242,CF,15.042242466666666,0,1
GAPDH,U1242,NF,17.72446884,2.682226373333334,0.15580070067249632
GAPDH,U251,CF,16.75531907,0,1
GAPDH,U251,NF,21.82741138,5.072092310000002,0.029726794022954382
GAPDH,U87,CF,16.71752347,0,1
GAPDH,U87,NF,17.33689592,0.6193724500000002,0.6509540210638353
PPIA,A172,CF,14.798075816666666,0,1
PPIA,A172,NF,16.788466275,1.9903904583333354,0.2516707648385373
PPIA,U1242,CF,13.700782803333333,0,1
PPIA,U1242,NF,16.451264953333332,2.75048215,0.14860121841287957
PPIA,U251,CF,15.204605773333334,0,1
PPIA,U251,NF,19.7459267,4.541320926666664,0.04294634228529237
PPIA,U87,CF,14.5939985,0,1
PPIA,U87,NF,15.879390873333334,1.285392373333334,0.4102592100200593
U44,A172,CF,30.776918236666667,2.7997659400000003,0.14361059158406544
U44,A172,NF,27.977152296666667,0,1
U44,U1242,CF,25.166880016666667,2.4200763666666667,0.18684626542075972
U44,U1242,NF,22.74680365,0,1
U44,U251,CF,32.23978146666666,4.521076193333332,0.04355323846260232
U44,U251,NF,27.71870527333333,0,1
U44,U87,CF,27.620645813333333,3.832327696666667,0.07020279612337503
U44,U87,NF,23.788318116666666,0,1
U48,A172,CF,26.407504721666665,0.9870592683333328,0.5045050905808528
U48,A172,NF,25.420445453333333,0,1
U48,U1242,CF,23.82057858,2.6883288500000013,0.15514306887392246
U48,U1242,NF,21.132249729999998,0,1
U48,U251,CF,29.108076863333334,4.913913506666667,0.03317146393591295
U48,U251,NF,24.194163356666667,0,1
U48,U87,CF,25.231550193333334,4.1614204866666675,0.055884016079868905
U48,U87,NF,21.070129706666666,0,1
uc.110,A172,CF,25.878116978333335,0,1
uc.110,A172,NF,26.788854595,0.9107376166666654,0.5319130668220063
uc.110,U1242,CF,27.988488923333332,1.7698106666666646,0.2932472193356399
uc.110,U1242,NF,26.218678256666667,0,1
uc.110,U251,CF,28.70912372333333,3.2548639466666636,0.10475827059475308
uc.110,U251,NF,25.454259776666667,0,1
uc.110,U87,CF,31.714639236666667,5.453546993333333,0.02282016457998617
uc.110,U87,NF,26.261092243333334,0,1
uc.210,A172,CF,25.194761388333333,0.8096660766666659,0.570513892667655
uc.210,A172,NF,24.385095311666667,0,1
uc.210,U1242,CF,26.12426496333333,3.5583606799999963,0.08488416872205443
uc.210,U1242,NF,22.565904283333335,0,1
uc.210,U251,CF,25.796549246666665,3.6477738233333312,0.07978305495763059
uc.210,U251,NF,22.148775423333333,0,1
uc.210,U87,CF,28.392461553333334,4.850232803333334,0.03466845120765577
uc.210,U87,NF,23.54222875,0,1
uc.427,A172,CF,31.67685567666667,2.9491607416666703,0.12948341790533371
uc.427,A172,NF,28.727694935,0,1
uc.427,U1242,CF,30.95839279,3.245066686666668,0.10547209909554492
uc.427,U1242,NF,27.713326103333333,0,1
uc.427,U251,CF,32.754140156666665,5.105649389999996,0.029043328448272645
uc.427,U251,NF,27.64849076666667,0,1
uc.427,U87,CF,32.03246281,4.567150046666665,0.04218429945316138
uc.427,U87,NF,27.465312763333333,0,1
uc.62,A172,CF,31.526849225,0.37545242166666526,0.7708636359661788
uc.62,A172,NF,31.151396803333334,0,1
uc.62,U1242,CF,31.743549026666667,2.9349147833333333,0.13076834143009167
uc.62,U1242,NF,28.808634243333334,0,1
uc.62,U251,CF,34.72468657333333,4.321622189999996,0.05001060297958273
uc.62,U251,NF,30.403064383333334,0,1
uc.62,U87,CF,33.94134431,3.8138759033333294,0.07110644285998252
uc.62,U87,NF,30.12746840666667,0,1
