Target,Sample,meanCq,dct,ddct,FC,log2FC
U44,control,24.81502162,0,0,1,0
uc.62,control,26.55930307,0,0,1,0
uc.110,control,28.68130426,0,0,1,0
U44,O-62,26.98180371,2.166782084,0,1,0
uc.62,O-62,19.63305528,-6.92624779,-9.093029874,546.103228,9.093029874
U44,O-110,27.48022581,2.665204192,0,1,0
uc.110,O-110,24.08661784,-4.594686418,-7.25989061,153.2656526,7.25989061
U44,control,26.66462945,0,0,1,0
uc.210,control,31.8838852,0,0,1,0
uc.427,control,26.21366807,0,0,1,0
U44,O-210,29.79125501,3.126625562,0,1,0
uc.210,O-210,23.61626655,-8.267618643,-11.39424421,2691.59234,11.39424421
U44,O-427,30.48290938,3.818279937,0,1,0
uc.427,O-427,22.55368429,-3.659983775,-7.478263712,178.3124604,7.478263711
